id,left_brand,left_productName,left_price,right_brand,right_productName,right_price
1000095,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,,Koffie Starbucks Decaf Espresso Roast zonder cafeïne 10 capsules,4.1300
1000096,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Lactel,Lichte Start Koffie 50 cl,1.6600
1000097,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Douwe Egberts,Koffie Capsules Moka Royal Lungo Intensiteit 08 Nespresso®* Compatibel 40 stuks,8.8600
1000098,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Douwe Egberts,Koffie Capsules Dessert Lungo Intensiteit 06 Nespresso®* Compatibel 40 stuks,8.8600
1000099,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,L'OR,Koffie Capsules Espresso BIO Intensiteit 7 Nespresso®* Compatibel 10 stuks,3.7900
1000100,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,L'OR,Koffie Capsules Espresso BIO Intensiteit 9 Nespresso®* Compatibel 10 stuks,4.1300
1000101,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,,SENSEO® Espresso Koffie Pads Composteerbaar* Classic 36 stuks,5.3000
1000102,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,,SENSEO® Espresso Koffie Pads Composteerbaar* Intense 36 stuks,5.3000
1000103,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,,Koffie Starbucks by NESCAFÉ DOLCE GUSTO Caffè Latte 12 capsules,4.6700
1000104,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Nescafé,GOLD Koffie Chocolate & Caramelised Hazelnut Latte Zakjes 148g,3.7500
1000105,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Nescafé,Farmers Origins Koffie Colombia Decaf Espresso  10 Capsules,3.8100
1000106,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Nestlé,Koffie BONJOUR Doos 400 g,8.0100
1000107,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,illy,Koffie Capsules Lungo Classico Nespresso®* Compatibel 10 stuks,4.5900
1000108,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,illy,Koffie Capsules Espresso Classico Nespresso®* Compatibel 10 stuks,4.5900
1000109,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,,Koffie Starbucks by NESPRESSO Blonde Espresso Roast 10 capsules,4.1300
